#Organism group,Strain,Isolate,Create date,Location,Isolation source,AMR genotypes,Virulence genotypes,Stress genotypes,AST phenotypes,Host disease
"Staphylococcus pseudintermedius","MAD478","PDT000527006.1","2019-06-20T10:37:23Z","USA","hands","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,sat4=COMPLETE","icaC=COMPLETE",,,
"Staphylococcus pseudintermedius","MAD480","PDT000527026.1","2019-06-20T10:42:12Z","USA","hands","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,sat4=COMPLETE","icaC=COMPLETE","qacJ=COMPLETE",,
"Staphylococcus pseudintermedius",,"PDT000636910.1","2019-11-27T19:29:52Z","USA: Texas","Bone/Implant/Surgical Site","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,ant(6)-Ia=PARTIAL_END_OF_CONTIG,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,dfrG=COMPLETE,erm(B)=COMPLETE,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,sat4=PARTIAL_END_OF_CONTIG,tet(M)=COMPLETE","icaC=COMPLETE","qacG=COMPLETE",,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636911.1","2019-11-27T19:29:53Z","USA: Texas","Bone/Implant/Surgical Site","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE","icaC=COMPLETE",,,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636912.1","2019-11-27T19:29:53Z","USA: Texas","urine","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,sat4=COMPLETE,tet(M)=COMPLETE,tet(M)=PARTIAL_END_OF_CONTIG","icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636913.1","2019-11-27T19:29:53Z","USA: Texas","urine","blaI=COMPLETE,blaZ=COMPLETE","icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636914.1","2019-11-27T19:29:54Z","USA: Texas","urine","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,grlA_S80I=POINT,gyrA_S84L=POINT,lnu(A)=COMPLETE,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636915.1","2019-11-27T19:29:54Z","USA: Texas","skin",,"icaC=COMPLETE,sec3=COMPLETE,sel=COMPLETE,seq=COMPLETE",,,"Pyoderma"
"Staphylococcus pseudintermedius",,"PDT000636917.1","2019-11-27T19:29:55Z","USA: Texas","urine","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE","icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636918.1","2019-11-27T19:29:55Z","USA: Texas","skin",,"icaC=COMPLETE",,,"Pyoderma"
"Staphylococcus pseudintermedius",,"PDT000636919.1","2019-11-27T19:29:55Z","USA: Texas","Bone/Implant/Surgical Site","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,dfrG=COMPLETE,erm(B)=COMPLETE,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,sat4=PARTIAL_END_OF_CONTIG,tet(M)=COMPLETE","icaC=COMPLETE,sec3=COMPLETE,sel=COMPLETE","qacG=COMPLETE",,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636920.1","2019-11-27T19:29:55Z","USA: Texas","skin","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,ant(6)-Ia=PARTIAL_END_OF_CONTIG,aph(3')-IIIa=COMPLETE,aph(3')-IIIa=PARTIAL_END_OF_CONTIG,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,catA=COMPLETE,erm(B)=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE","qacG=COMPLETE",,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636921.1","2019-11-27T19:29:56Z","USA: Texas","urine","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,mecA=COMPLETE,mecR1=PARTIAL,tet(M)=COMPLETE","icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636922.1","2019-11-27T19:29:56Z","USA: Texas","skin",,"icaC=COMPLETE",,,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636923.1","2019-11-27T19:29:56Z","USA: Texas","urine","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636924.1","2019-11-27T19:29:56Z","USA: Texas","skin",,"icaC=COMPLETE",,,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636925.1","2019-11-27T19:29:57Z","USA: Texas","Bone/Implant/Surgical Site","aac(6')-Ie/aph(2'')-Ia=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,tet(K)=COMPLETE,tet(K)=PARTIAL_END_OF_CONTIG","icaC=COMPLETE",,,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636926.1","2019-11-27T19:29:57Z","USA: Texas","skin","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE,sec3=COMPLETE,sel=COMPLETE",,,"Pyoderma"
"Staphylococcus pseudintermedius",,"PDT000636927.1","2019-11-27T19:29:57Z","USA: Texas","urine","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE","icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636928.1","2019-11-27T19:29:58Z","USA: Texas","urine",,"icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636929.1","2019-11-27T19:29:58Z","USA: Texas","urine","blaI=COMPLETE,blaZ=COMPLETE","icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636930.1","2019-11-27T19:29:58Z","USA: Texas","Bone/Implant/Surgical Site","blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636931.1","2019-11-27T19:29:58Z","USA: Texas","skin","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE","icaC=COMPLETE,sec3=COMPLETE,sel=COMPLETE",,,"Pyoderma"
"Staphylococcus pseudintermedius",,"PDT000636933.1","2019-11-27T19:29:59Z","USA: Texas","skin",,"icaC=COMPLETE",,,"Pyoderma"
"Staphylococcus pseudintermedius",,"PDT000636934.1","2019-11-27T19:29:59Z","USA: Texas","skin","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE","icaC=COMPLETE",,,"Pyoderma"
"Staphylococcus pseudintermedius",,"PDT000636935.1","2019-11-27T19:29:59Z","USA: Texas","skin","blaI=COMPLETE,blaI=PARTIAL_END_OF_CONTIG,blaZ=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636936.1","2019-11-27T19:30:00Z","USA: Texas","urine","aac(6')-Ie/aph(2'')-Ia=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE","icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636937.1","2019-11-27T19:30:00Z","USA: Texas","urine",,"icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636938.1","2019-11-27T19:30:00Z","USA: Texas","Bone/Implant/Surgical Site","aac(6')-Ie/aph(2'')-Ia=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE","icaC=COMPLETE",,,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636939.1","2019-11-27T19:30:01Z","USA: Texas","skin","blaI=COMPLETE,blaZ=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG","icaC=COMPLETE",,,"Pyoderma"
"Staphylococcus pseudintermedius",,"PDT000636940.1","2019-11-27T19:30:01Z","USA: Texas","skin","blaI=COMPLETE,blaI=PARTIAL_END_OF_CONTIG,blaZ=COMPLETE,blaZ=MISTRANSLATION,blaZ=PARTIAL_END_OF_CONTIG","icaC=COMPLETE,seq=COMPLETE",,,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636941.1","2019-11-27T19:30:01Z","USA: Texas","skin","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE","icaC=COMPLETE",,,"Pyoderma"
"Staphylococcus pseudintermedius",,"PDT000636942.1","2019-11-27T19:30:02Z","USA: Texas","urine","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636943.1","2019-11-27T19:30:02Z","USA: Texas","urine","blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636944.1","2019-11-27T19:30:02Z","USA: Texas","Bone/Implant/Surgical Site","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,catA=COMPLETE,erm(B)=COMPLETE,lnu(A)=PARTIAL_END_OF_CONTIG,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636945.1","2019-11-27T19:30:03Z","USA: Texas","Bone/Implant/Surgical Site","ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,erm(B)=COMPLETE,sat4=COMPLETE,sat4=PARTIAL_END_OF_CONTIG,tet(M)=COMPLETE","icaC=COMPLETE","qacG=COMPLETE",,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636946.1","2019-11-27T19:30:03Z","USA: Texas","Bone/Implant/Surgical Site","lnu(A)=COMPLETE","icaC=COMPLETE",,,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636947.1","2019-11-27T19:30:03Z","USA: Texas","Bone/Implant/Surgical Site",,"icaC=COMPLETE",,,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636948.1","2019-11-27T19:30:04Z","USA: Texas","Bone/Implant/Surgical Site","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE","icaC=COMPLETE",,,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636949.1","2019-11-27T19:30:04Z","USA: Texas","Bone/Implant/Surgical Site",,"icaC=COMPLETE",,,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636950.1","2019-11-27T19:30:04Z","USA: Texas","Bone/Implant/Surgical Site","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,grlA_S80I=POINT,gyrA_S84L=POINT,lnu(A)=COMPLETE,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE","qacG=COMPLETE",,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636951.1","2019-11-27T19:30:05Z","USA: Texas","Bone/Implant/Surgical Site","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,catA=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=MISTRANSLATION,mecI=PARTIAL_END_OF_CONTIG,mecR1=COMPLETE,sat4=COMPLETE,sat4=PARTIAL_END_OF_CONTIG,tet(K)=COMPLETE,tet(K)=PARTIAL_END_OF_CONTIG,tet(M)=COMPLETE","icaC=COMPLETE",,,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636953.1","2019-11-27T19:30:06Z","USA: Texas","Bone/Implant/Surgical Site","blaI=COMPLETE,blaZ=COMPLETE","icaC=COMPLETE",,,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636954.1","2019-11-27T19:30:06Z","USA: Texas","Bone/Implant/Surgical Site","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,mecR1=PARTIAL_END_OF_CONTIG,sat4=COMPLETE","icaC=COMPLETE",,,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636955.1","2019-11-27T19:30:07Z","USA: Texas","Bone/Implant/Surgical Site","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE","icaC=COMPLETE",,,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636956.1","2019-11-27T19:30:07Z","USA: Texas","skin","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE","icaC=COMPLETE",,,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636957.1","2019-11-27T19:30:07Z","USA: Texas","urine","blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,blaZ=PARTIAL","icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636958.1","2019-11-27T19:30:08Z","USA: Texas","skin","ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaI=PARTIAL_END_OF_CONTIG,blaPC1=COMPLETE,blaR1=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636959.1","2019-11-27T19:30:08Z","USA: Texas","skin","blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,mecA=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Pyoderma"
"Staphylococcus pseudintermedius",,"PDT000636960.1","2019-11-27T19:30:08Z","USA: Texas","urine","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrS1=COMPLETE,erm(B)=COMPLETE,grlA_S80I=POINT,gyrA_S84L=POINT,lnu(A)=COMPLETE,sat4=COMPLETE","icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636961.1","2019-11-27T19:30:08Z","USA: Texas","skin","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,grlA_S80I=POINT,gyrA_S84L=POINT,lnu(A)=COMPLETE,mecA=COMPLETE,sat4=COMPLETE,sat4=PARTIAL_END_OF_CONTIG,tet(M)=COMPLETE","icaC=COMPLETE",,,"Pyoderma"
"Staphylococcus pseudintermedius",,"PDT000636962.1","2019-11-27T19:30:09Z","USA: Texas","skin","aac(6')-Ie/aph(2'')-Ia=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,tet(M)=COMPLETE","icaC=COMPLETE,sec3=COMPLETE,sel=COMPLETE,seq=COMPLETE","qacG=COMPLETE",,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636963.1","2019-11-27T19:30:09Z","USA: Texas","urine","ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,erm(B)=COMPLETE,sat4=COMPLETE","icaC=COMPLETE","qacG=COMPLETE",,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636964.1","2019-11-27T19:30:09Z","USA: Texas","urine","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,aph(3')-IIIa=PARTIAL_END_OF_CONTIG,blaI=COMPLETE,blaI=PARTIAL_END_OF_CONTIG,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,grlA_S80I=POINT,gyrA_S84L=POINT,lnu(A)=COMPLETE,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636966.1","2019-11-27T19:30:10Z","USA: Texas","urine","blaI=COMPLETE,blaZ=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636967.1","2019-11-27T19:30:10Z","USA: Texas","skin","blaI=COMPLETE,blaI=PARTIAL_END_OF_CONTIG,blaPC1=COMPLETE,blaR1=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,tet(M)=COMPLETE,tet(M)=MISTRANSLATION","icaC=COMPLETE",,,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636968.1","2019-11-27T19:30:11Z","USA: Texas","skin","blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE","icaC=COMPLETE",,,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636969.1","2019-11-27T19:30:11Z","USA: Texas","skin","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE","icaC=COMPLETE",,,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636970.1","2019-11-27T19:30:12Z","USA: Texas","Bone/Implant/Surgical Site","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,dfrG=COMPLETE,erm(B)=COMPLETE,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE,tet(M)=PARTIAL_END_OF_CONTIG","icaC=COMPLETE","qacG=COMPLETE",,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636971.1","2019-11-27T19:30:12Z","USA: Texas","skin","blaI=COMPLETE,blaI=PARTIAL_END_OF_CONTIG,blaR1=COMPLETE,blaZ=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636972.1","2019-11-27T19:30:13Z","USA: Texas","skin","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE","icaC=COMPLETE",,,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636973.1","2019-11-27T19:30:13Z","USA: Texas","skin","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636974.1","2019-11-27T19:30:14Z","USA: Texas","skin","blaI=COMPLETE,blaZ=COMPLETE,tet(K)=COMPLETE","icaC=COMPLETE",,,"Pyoderma"
"Staphylococcus pseudintermedius",,"PDT000636975.1","2019-11-27T19:30:14Z","USA: Texas","skin","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636976.1","2019-11-27T19:30:14Z","USA: Texas","skin",,"icaC=COMPLETE",,,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636977.1","2019-11-27T19:30:14Z","USA: Texas","skin","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,dfrG=COMPLETE,erm(B)=COMPLETE,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE,sec3=COMPLETE,sel=COMPLETE","qacG=COMPLETE",,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636978.1","2019-11-27T19:30:15Z","USA: Texas","Bone/Implant/Surgical Site","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE","icaC=COMPLETE",,,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636979.1","2019-11-27T19:30:15Z","USA: Texas","Bone/Implant/Surgical Site","blaI=COMPLETE,blaZ=COMPLETE","icaC=COMPLETE,sec3=COMPLETE,sel=COMPLETE",,,"Surgical Infection"
"Staphylococcus pseudintermedius",,"PDT000636980.1","2019-11-27T19:30:15Z","USA: Texas","skin","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaZ=PARTIAL","icaC=COMPLETE",,,"Pyoderma"
"Staphylococcus pseudintermedius",,"PDT000636981.1","2019-11-27T19:30:16Z","USA: Texas","skin","blaI=COMPLETE,blaR1=COMPLETE,blaR1=MISTRANSLATION,blaZ=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,tet(M)=COMPLETE","icaC=COMPLETE",,,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636982.1","2019-11-27T19:30:16Z","USA: Texas","urine","blaI=COMPLETE,blaZ=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG","icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636983.1","2019-11-27T19:30:16Z","USA: Texas","skin","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE","icaC=COMPLETE",,,"Healthy"
"Staphylococcus pseudintermedius",,"PDT000636984.1","2019-11-27T19:30:17Z","USA: Texas","urine","blaI=COMPLETE,blaZ=COMPLETE,lnu(A)=COMPLETE","icaC=COMPLETE",,,"Urine Infection"
"Staphylococcus pseudintermedius",,"PDT000636985.1","2019-11-27T19:30:17Z","USA: Texas","skin","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE","icaC=COMPLETE",,,"Healthy"
